PPARG	NFATC2	BCL6	MAFB	PRDM1	SNAI3	EGR2	ETS1	STAT1	FOS
11.1327552	10.626251	3.7417872	8.3510467	9.1350244	11.0454001	3.7417872	6.5434199	11.7238049	10.4170009
12.2335177	10.222648	8.94653	3.7219955	3.7219955	13.0306844	12.9668657	8.8038702	12.4988012	3.7219955
12.8636566	9.9303434	10.136611	3.7989156	9.118334	8.8783327	3.7989156	7.0311106	13.1411945	10.400256
3.7090699	8.3681823	12.6516231	10.0210288	3.7090699	9.9017636	11.2186587	6.7278338	11.9108551	17.2533813
11.038351	11.3126309	13.6131206	14.8549557	8.8355818	3.7033711	13.133338	7.2938938	11.9237507	13.0000603
12.3492156	10.4644543	11.627728	9.1606635	7.0599599	3.7638057	15.853317	3.7638057	11.3074518	15.8082246
3.5924858	10.3966054	8.8293116	3.5924858	3.5924858	3.5924858	12.9683263	3.5924858	12.1127115	13.4302541
3.6655932	8.6229252	8.950622	3.6655932	10.64004	11.0974796	11.2115921	7.9032452	12.6277466	11.5722359
3.7372665	10.82907	11.360767	3.7372665	3.7372665	3.7372665	21.2082693	6.6330339	11.7750852	13.3255834
10.5211318	10.9550983	3.8980253	18.5259841	9.7724687	3.8980253	25.9053067	8.4721032	13.6099853	12.5372289
12.5288543	12.124585	12.0211424	3.8413388	3.8413388	3.8413388	3.8413388	3.8413388	12.7677928	10.3360972
11.1914513	11.2065504	11.9989927	3.7369561	8.3798052	12.0110231	3.7369561	8.0613197	12.767378	9.5909263
11.5155715	12.7514826	3.6560784	8.1573519	3.6560784	11.5379191	3.6560784	6.1216503	11.4736368	9.3161015
3.6926326	8.7027317	3.6926326	3.6926326	3.6926326	9.8454526	3.6926326	8.3031192	11.7539424	3.6926326
3.7514329	10.6875233	11.4822599	3.7514329	10.5389115	3.7514329	3.7514329	3.7514329	11.7977237	9.8844669
12.551409	11.1605446	9.5165003	3.7975608	11.3215225	16.4927602	3.7975608	6.7083194	12.1767327	12.2013811
13.3146425	8.8663134	13.8177788	9.9443449	9.6970057	11.9544116	3.6937901	7.0528422	12.4732332	12.7425312
