PPARG	NFATC2	BCL6	MAFB	PRDM1	SNAI3	EGR2	ETS1	STAT1	FOS	NFYC	IRF8	TCF3	PPARD	SNAI1
11.1327552	10.626251	3.7417872	8.3510467	9.1350244	11.0454001	3.7417872	6.5434199	11.7238049	10.4170009	17.7252	13.7276297	13.851604	11.1350097	7.8939154
12.2335177	10.222648	8.94653	3.7219955	3.7219955	13.0306844	12.9668657	8.8038702	12.4988012	3.7219955	18.0593004	14.4937066	13.1830153	13.2401076	3.7219955
12.8636566	9.9303434	10.136611	3.7989156	9.118334	8.8783327	3.7989156	7.0311106	13.1411945	10.400256	18.4294727	14.5137937	11.0141006	10.7789492	10.6323333
3.7090699	8.3681823	12.6516231	10.0210288	3.7090699	9.9017636	11.2186587	6.7278338	11.9108551	17.2533813	14.1082252	13.9012332	13.6556879	14.5422072	3.7090699
11.038351	11.3126309	13.6131206	14.8549557	8.8355818	3.7033711	13.133338	7.2938938	11.9237507	13.0000603	12.7650031	10.9894897	10.4603657	14.8007476	11.3721266
12.3492156	10.4644543	11.627728	9.1606635	7.0599599	3.7638057	15.853317	3.7638057	11.3074518	15.8082246	16.8384765	13.8962534	13.7261984	11.1261193	3.7638057
3.5924858	10.3966054	8.8293116	3.5924858	3.5924858	3.5924858	12.9683263	3.5924858	12.1127115	13.4302541	14.6185445	12.7519323	12.7638844	11.0557742	8.743591
3.6655932	8.6229252	8.950622	3.6655932	10.64004	11.0974796	11.2115921	7.9032452	12.6277466	11.5722359	18.1711687	13.152795	12.5684233	11.6566486	8.6839574
3.7372665	10.82907	11.360767	3.7372665	3.7372665	3.7372665	21.2082693	6.6330339	11.7750852	13.3255834	14.2717885	9.8732714	12.9499399	10.5801096	3.7372665
10.5211318	10.9550983	3.8980253	18.5259841	9.7724687	3.8980253	25.9053067	8.4721032	13.6099853	12.5372289	15.4314032	12.7520677	10.9669747	10.0159389	3.8980253
12.5288543	12.124585	12.0211424	3.8413388	3.8413388	3.8413388	3.8413388	3.8413388	12.7677928	10.3360972	17.6025431	14.4305692	12.0405914	12.5526896	3.8413388
11.1914513	11.2065504	11.9989927	3.7369561	8.3798052	12.0110231	3.7369561	8.0613197	12.767378	9.5909263	18.409775	13.7933022	12.7834834	12.847933	7.6478536
11.5155715	12.7514826	3.6560784	8.1573519	3.6560784	11.5379191	3.6560784	6.1216503	11.4736368	9.3161015	14.5771477	13.6908804	15.6052861	11.3484417	9.6822491
3.6926326	8.7027317	3.6926326	3.6926326	3.6926326	9.8454526	3.6926326	8.3031192	11.7539424	3.6926326	16.4950012	12.7323758	14.4887127	11.0926364	3.6926326
3.7514329	10.6875233	11.4822599	3.7514329	10.5389115	3.7514329	3.7514329	3.7514329	11.7977237	9.8844669	16.0857097	13.0267893	13.4033682	10.9411871	3.7514329
12.551409	11.1605446	9.5165003	3.7975608	11.3215225	16.4927602	3.7975608	6.7083194	12.1767327	12.2013811	11.0875268	14.3639196	11.3510443	11.1316404	3.7975608
13.3146425	8.8663134	13.8177788	9.9443449	9.6970057	11.9544116	3.6937901	7.0528422	12.4732332	12.7425312	13.3434009	13.8297502	14.055752	10.3562115	7.9151321
11.0527145	13.4361097	9.3504879	8.3609882	9.6354676	10.3876956	3.6047838	8.0231746	12.087298	8.7701233	15.5798798	13.8096078	12.7589901	10.2446601	8.031063
10.3436601	13.3612204	12.5029953	3.7122474	3.7122474	14.0463501	3.7122474	8.6814685	12.675162	10.6701711	14.1545092	10.7690199	14.4862922	11.2846611	3.7122474
14.2380592	8.1899892	3.6456573	3.6456573	7.1361815	13.2864438	3.6456573	4.6932697	12.4315585	8.7141106	13.290756	13.6250716	13.4159316	11.8752891	8.0684735
3.8436043	10.8554273	11.4590769	3.8436043	3.8436043	15.5756193	3.8436043	3.8436043	14.2344862	12.5562244	17.3953909	10.5471945	10.485664	8.5410436	9.9039691
13.0914241	4.054388	4.054388	4.054388	4.054388	11.2839781	4.054388	4.054388	11.5461434	4.054388	11.9053803	11.0655156	14.3079915	13.3335423	4.054388
12.1488314	9.6504485	9.1222077	3.54798	3.54798	9.3824264	3.54798	7.2831292	11.2127508	9.8464272	13.850334	14.0757362	12.5669664	12.1152459	8.7020605
17.5908179	11.1792629	11.7324268	3.7778898	10.839047	3.7778898	3.7778898	9.5536981	13.5857933	3.7778898	15.3098324	11.984796	12.3598601	12.3209167	3.7778898
14.6957673	8.6315332	12.5794269	10.1709795	9.4231058	3.6135547	10.198153	8.3357046	11.8277023	9.7196724	17.0804362	10.5445256	13.7271535	11.4881618	10.0183489
11.0079171	10.0363065	3.7199656	3.7199656	8.935208	10.3725079	3.7199656	3.7199656	11.9707024	9.0402748	14.590915	11.8124006	12.2488598	13.0188743	3.7199656
10.0182213	10.7555243	10.5120321	3.6229971	8.2860214	7.8843326	3.6229971	7.022525	12.0125983	11.0000201	16.7242627	12.5101322	11.8356118	10.5483099	9.4836048
17.0730661	11.5720467	9.8986558	3.739881	3.739881	10.5062094	3.739881	3.739881	11.4075697	12.5884566	13.8237954	16.4695925	14.6086221	9.7534431	8.5510831
11.7427518	9.311936	8.8888119	3.5993095	9.2706655	10.7397859	3.5993095	3.5993095	12.165708	9.7456217	14.3866061	14.3970354	15.0657927	9.85968	7.025037
13.725497	10.1210064	12.8956044	11.0291923	9.8642817	10.0145758	12.8828326	8.0820678	13.3721433	12.7410752	16.6592751	13.2526082	11.5454369	13.5826214	9.2216251
13.1238941	14.3664756	11.45592	3.8166645	12.7905099	16.2229118	3.8166645	9.3425865	13.0045372	12.0956196	16.5005313	12.7524927	10.9890679	15.3922849	8.9068794
9.3244311	9.7449713	3.6266033	8.6138486	3.6266033	3.6266033	3.6266033	5.4454014	11.81672	3.6266033	14.1355987	12.2900021	13.5242513	9.8399556	3.6266033
3.7995623	10.303502	10.2938591	3.7995623	9.6362931	3.7995623	3.7995623	3.7995623	12.2564947	13.0516852	17.6545237	10.444874	13.1032996	10.4746532	9.3626582
12.7669748	10.2643096	10.2441357	10.7422625	10.5654458	9.9163607	12.5968616	8.0439947	12.2231659	9.3701122	11.8995304	10.5613863	11.7755962	13.6143991	3.5964201
